Question,Answer
What does the law on page 46 state?,"34D. DELETED
34E. DELETED.
34F. DELETED.
Date of application (or variation of application)
for permission to stay
34G. For the purposes of these rules, and subject
to paragraph 34GB, the date on which an
application is made is:
(1) where the paper application form is sent by
post by Royal Mail, whether or not accompanied
by a fee waiver request form, the date of posting
as shown on the tracking information provided
by Royal Mail or, if not tracked, by the postmark
date on the envelope; or
(2) where the paper application form is sent by
courier, or other postal services provider, the
date on which it is delivered to the Home Ofﬁce;
or
(3) where the application is made via the online
application process, and there is no request for
a fee waiver, the date on which the online
application is submitted; or
(4) where the online application includes a
request for a fee waiver, the date on which the
online request for a fee waiver is submitted, as
long as the completed application for permission
to stay is submitted within 10 working days of
the receipt of the decision on the fee waiver
application.
34GA. Where an application is rejected as invalid
that decision will be served in accordance with
Appendix SN.
34GB. Where a variation application is made in
accordance with paragraph 34BB, the date the
variation application (the new application) is made
is deemed to be the date the previous application
was made prior to it being varied (the old
application).
34GC. Where a partner, child or other dependent is
included in the variation application (the new15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 19/27"
What does the law on page 47 state?,"application) and was not included in the application
which has been varied (the old application) the date
of application for the dependant’s application is the
date the variation application (the new application)
was made.
Withdrawal of an application for entry
clearance, permission to enter and permission
to stay in the United Kingdom
34H. An applicant may ask to withdraw their
application for entry clearance, permission to enter
or permission to stay at any time before a decision
is made on the application by making a request in
writing or by completing the withdrawal process at
www.gov.uk/cancel-visa (https://www.gov.uk/cancel-
visa). If the request to withdraw the application is
accepted the date of withdrawal is the date on
which the request was received by the Home
Ofﬁce.
34I. There is no requirement to agree to the
withdrawal of an application for entry clearance,
permission to enter or permission to stay and the
decision maker may instead decide the application.
34J. The proof of identity provided under paragraph
34(5), or any other application for permission to
stay, will be returned to the applicant whilst their
application is being considered, unless the
Secretary of State considers it necessary to retain
it.
34K. Where a decision on an application for
permission to stay has not been made and the
applicant travels outside the common travel area
their application will be treated as withdrawn on the
date the applicant left the common travel area.
Void applications
34KA. An application is void where it would not be
possible to grant the applicant the permission for
which they applied.
34KB. If an application is void, it will not be
considered.15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 20/27"
What does the law on page 48 state?,"34KC. An application is void if, for example, any of
the following apply:
(a) it was made by a person who is exempt from
immigration control, unless it was made under
Appendix EU of these Rules; or
(b) it is an application for temporary permission,
and the applicant has already been granted
settlement; or
(c) it is a new application for permission to stay
and is made while the applicant’s current
permission is extended under section 3C of the
Immigration Act 1971 during the period where
an in-time appeal could be brought or is
pending, unless the new application is made
under Appendix EU of these Rules or is a
human rights or protection claim; or
(d) the applicant has died before the application
has been decided.
34KD. Where an application is void, notice will be
given in accordance with Appendix SN of these
Rules.
Speciﬁed forms and procedures in
connection with applications for
administrative review
Notice of an eligible decision
34L. (1) Unless sub-paragraph (2) applies, written
notice must be given to a person of any eligible
decision. The notice given must:
(a) include or be accompanied by a statement of
reasons for the decision to which it relates, and
(b) include information on how to apply for an
administrative review and the time limit for
making an application.
(2) Sub-paragraph (1) does not apply where the
eligible decision is a grant of leave to remain.
Making an application
34M. DELETED.
34N. DELETED.15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 21/27"
What does the law on page 49 state?,"34O. DELETED.
34P. DELETED.
34Q. DELETED.
34QA. DELETED.
34R.DELETED.
34S. DELETED.
Notice of invalidity
34T. DELETED.
Online applications for administrative review
34U. DELETED.
Postal applications for administrative review
34V. DELETED.
Applications for administrative review of entry
clearance decisions
34VA. DELETED.
Determining the date of an application
34W. DELETED.
Withdrawal of applications
34X. DELETED.
Transitional arrangements for
speciﬁed forms used in postal and
courier applications
34Y. Where an application is made no more than 21
days after the date on which a form is speciﬁed
(within the meaning of paragraph 34 or the validity
requirements for the route applied for) and on a
form that was speciﬁed immediately prior to the
date of the new speciﬁcation, the application is15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 22/27"
What does the law on page 50 state?,"deemed to have been made on the speciﬁed form
(and is therefore not to be treated as invalid by
reason only of being made on the “wrong” form).
Undertakings
35. DELETED
Medical
36. A person who intends to remain in the United
Kingdom for more than 6 months should normally
be referred to the Medical Inspector for
examination. If he produces a medical certiﬁcate he
should be advised to hand it to the Medical
Inspector. Any person seeking entry who mentions
health or medical treatment as a reason for his visit,
or who appears not to be in good mental or physical
health, should also be referred to the Medical
Inspector; and the Immigration Ofﬁcer has
discretion, which should be exercised sparingly, to
refer for examination in any other case.
37. Where the Medical Inspector advises that a
person seeking entry is suffering from a speciﬁed
disease or condition which may interfere with his
ability to support himself or his dependants, the
Immigration Ofﬁcer should take account of this, in
conjunction with other factors, in deciding whether
to admit that person. The Immigration Ofﬁcer
should also take account of the Medical Inspector’s
assessment of the likely course of treatment in
deciding whether a person seeking entry for private
medical treatment has sufﬁcient means at his
disposal.
38. A returning resident should not be refused leave
to enter or have existing leave to enter or remain
cancelled on medical grounds. But where a person
would be refused leave to enter or have existing
leave to enter or remain cancelled on medical
grounds if he were not a returning resident or in any
case where it is decided on compassionate grounds
not to exercise the power to refuse leave to enter or
to cancel existing leave to enter or remain, or in any
other case where the Medical Inspector so
recommends, the Immigration Ofﬁcer should give
the person concerned a notice requiring him to
report to the Medical Ofﬁcer of Environmental15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 23/27"
What does the law on page 51 state?,"Health designated by the Medical Inspector with a
view to further examination and any necessary
treatment.
A39. DELETED
B39. DELETED
C39. DELETED
39. The Entry Clearance Ofﬁcer has the same
discretion as an Immigration Ofﬁcer to refer
applicants for entry clearance for medical
examination and the same principles will apply to
the decision whether or not to issue an entry
clearance.
Students
39A. DELETED
Speciﬁed documents
39B. (a) Where these Rules state that speciﬁed
documents must be provided, that means
documents speciﬁed in these Rules as being
speciﬁed documents for the route under which the
applicant is applying. If the speciﬁed documents are
not provided, the applicant will not meet the
requirement for which the speciﬁed documents are
required as evidence.
(b) Where these Rules specify documents that
are to be provided, those documents are
considered to be speciﬁed documents, whether
or not they are named as such, and as such are
subject to the requirements in (c) to (f) below.
(c) If the Entry Clearance Ofﬁcer or Secretary of
State has reasonable cause to doubt the
genuineness of any document submitted by an
applicant which is, or which purports to be, a
speciﬁed document under these Rules, and
having taken reasonable steps to verify the
document is unable to verify that it is genuine,
the document will be discounted for the
purposes of this application.
(d) Speciﬁed documents may be originals or
copies.15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 24/27"
What does the law on page 52 state?,"(e) Speciﬁed documents must contain, or the
applicant must provide, full contact details to
allow each document to be veriﬁed.
(f) Where any speciﬁed documents provided are
not in English or Welsh, the applicant must
provide the version in the original language and
a full translation that can be independently
veriﬁed by the Entry Clearance Ofﬁcer,
Immigration Ofﬁcer or the Secretary of State.
The translation must be dated and include:
(i) conﬁrmation that it is an accurate translation
of the original document;
(ii) the full name and signature of the translator
or an authorised ofﬁcial of the translation
company;
(iii) the translator or translation company’s
contact details; and
(iv) if the applicant is applying for leave to
remain or indeﬁnite leave to remain, certiﬁcation
by a qualiﬁed translator and details of the
translator or translation company’s credentials.
Indeﬁnite leave to enter or remain
39C (a) An applicant for indeﬁnite leave to enter or
remain must, unless the applicant provides a
reasonable explanation, comply with any request
made by the Secretary of State to attend an
interview.
(b) If the decision-maker has reasonable cause
to doubt (on examination or interview or on any
other basis) that any evidence submitted by or
on behalf of an applicant for the purposes of
satisfying the requirements of Appendix KoLL of
these Rules was genuinely obtained, that
evidence may be discounted for the purposes of
the application.
(c) Where sub-paragraph (b) applies, the
decision-maker may give the applicant a further
opportunity to demonstrate sufﬁcient knowledge
of the English language and about life in the
United Kingdom in accordance with paragraph
3.2 or 3.3 of Appendix KoLL.
(d) A decision-maker may decide not to give the
applicant a further opportunity under sub-15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 25/27"
What does the law on page 53 state?,"paragraph (c) where the decision-maker does
not anticipate that the supply of further evidence
will lead to a grant of leave to enter or remain in
the United Kingdom because the application
may be refused for other reasons.
Power to interview a person with
limited leave to enter or remain
39D. For the purpose of assessing whether any of
the grounds of cancellation of entry clearance or
permission under Part 9 apply the Secretary of
State may request a person to:
(a) provide additional information to the Home
Ofﬁce at the address speciﬁed in the request
within 28 calendar days of the date the request
is sent; and
(b) attend an interview.
Exceptions for overstayers
39E. This paragraph applies where:
(1) the application was made within 14 days of
the applicant’s leave expiring and the Secretary
of State considers that there was a good reason
beyond the control of the applicant or their
representative, provided in or with the
application, why the application could not be
made in-time; or
(2) the application was made:
(a) following the refusal or rejection of a
previous application for leave which was
made in-time; and
(b) within 14 days of:
(i) the refusal or rejection of the previous
application for leave; or
(ii) the expiry of any leave extended by
section 3C of the Immigration Act 1971;
or
(iii) the expiry of the time-limit for making
an in-time application for administrative
review or appeal in relation to the15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 26/27"
What does the law on page 54 state?,"previous application (where applicable);
or
(iv) any such administrative review or
appeal being concluded, withdrawn,
abandoned or lapsing; or
(3) the period of overstaying was between 24
January and 31 August 2020; or
(4) where the applicant has, or had, permission
on the Hong Kong BN(O) route, and the period
of overstaying was between 1 July 2020 and 31
January 2021; or
(5) the period of overstaying:
(a) is between 1 September 2020 and 28
February 2023; and
(b) is covered by an exceptional assurance.
(6) the applicant has applied for permission to
stay on the Ukraine Permission Extension
Scheme and the application was made:
(a) within 90 days of the applicant’s
permission expiring; and
(b) the application was submitted between 4
February 2025 and 4 August 2025.
39F. For the purpose of paragraph 39E(5),
“exceptional assurance” means a written notice
given to a person by the Home Ofﬁce stating that
they would not be considered an overstayer for the
period speciﬁed in the notice.
All content is available under the Open Government Licence v3.0, except where otherwise stated © Crown copyright15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk#pt1lte 27/27"
What does the law on page 55 state?,"From:
Published
Updated:Immigration Rules
Home Ofﬁce
( / g o v e r n m e n t / o r g a n i s a t i o n s / h o m e - o f ﬁ c e )
25 February 2016
12 March 2025 - See all updates
Immigration Rules part 1: leave to enter or
stay in the UK
General provisions regarding entry
clearance, leave to enter or remain in
the United Kingdom (paragraphs 7 to
39E).
Leave to enter the United Kingdom
7.A person who is neither a British citizen nor a
Commonwealth citizen with the right of abode nor a
person who is entitled to enter or remain in the
United Kingdom by virtue of section 3ZA of the
Immigration Act 1971 requires leave to enter the
United Kingdom.
8.Under Sections 3 and 4 of the Immigration Act
1971 an Immigration Ofﬁcer when admitting to the
United Kingdom a person subject to immigration
control under that Act may give leave to enter for a
limited period and, if he does, may impose all or
any of the following conditions:Back to contents15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 1/27"
What does the law on page 56 state?,"(i) a condition restricting employment or
occupation in the United Kingdom;
(ii) a condition requiring the person to maintain
and accommodate himself, and any dependants
of his, without recourse to public funds;
(iii) a condition requiring the person to register
with the police; and
(iv) a condition restricting his studies in the
United Kingdom
He may also require him to report to the appropriate
Medical Ofﬁcer of Environmental Health. Under
Section 24 of the 1971 Act it is an offence
knowingly to remain beyond the time limit or fail to
comply with such a condition or requirement.
9.The time limit and any conditions attached will be
made known to the person concerned either:
(i) by written notice given to him or endorsed by
the Immigration Ofﬁcer in his passport or travel
document; or
(ii) in any other manner permitted by the
Immigration (Leave to Enter and Remain) Order
2000.
Exercise of the power to refuse leave
to enter the United Kingdom or to
cancel leave to enter or remain which
is in force
10.The power to refuse leave to enter the United
Kingdom or to cancel leave to enter or remain
which is already in force is not to be exercised by
an Immigration Ofﬁcer acting on his own. The
authority of a Chief Immigration Ofﬁcer or of an
Immigration Inspector must always be obtained.
Suspension of leave to enter or
remain in the United Kingdom
10A. Where a person has arrived in the United
Kingdom with leave to enter or remain which is in
force but which was given to him before his arrival
he may be examined by an Immigration Ofﬁcer
under paragraph 2A of Schedule 2 to the15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 2/27"
What does the law on page 57 state?,"Immigration Act 1971. An Immigration Ofﬁcer
examining a person under paragraph 2A may
suspend that person’s leave to enter or remain in
the United Kingdom until the examination is
completed.
Cancellation of leave to enter or
remain in the United Kingdom
10B Where a person arrives in the United Kingdom
with leave to enter or remain in the United Kingdom
which is already in force, an Immigration Ofﬁcer
may cancel that leave.
Requirement for persons arriving in
the United Kingdom or seeking entry
through the Channel T unnel to
produce evidence of identity and
nationality
11.A person must, on arrival in the United Kingdom
or when seeking entry through the Channel Tunnel,
produce on request by an immigration ofﬁcer:
(i) a valid national passport or, subject to
paragraph 11A other document satisfactorily
establishing their identity and nationality; and
(ii) such information as may be required to
establish whether they require leave to enter the
United Kingdom and, if so, whether and on what
terms leave to enter should be given.
11A. A national identity card is not valid for the
purposes of paragraph 11(i), except where the
holder is one of the following:
(a) a British citizen of Gibraltar; or
(b) a national of Switzerland with a valid entry
clearance granted under Appendix Service
Providers from Switzerland to these Rules; or
(c) a national of one of the countries listed in
paragraph 11B with valid indeﬁnite or limited
leave to enter or remain granted under
Appendix EU to these Rules, or who has made
a valid application under that Appendix (other
than as a joining family member of a relevant15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 3/27"
What does the law on page 58 state?,"sponsor, as deﬁned in Annex 1 to that
Appendix) which has not yet been ﬁnally
determined; or
(d) a national of one of the countries listed at
paragraph 11B with a valid entry clearance in
the form of an EU Settlement Scheme Family
Permit; or
(e) a national of one of the countries listed at
paragraph 11B with a frontier worker permit; or
(f) a national of one of the countries listed at
paragraph 11B seeking to come to the UK as an
S2 Healthcare Visitor; or
(g) a national of one of the countries listed at
paragraph 11B who has been granted
immigration permission equivalent to that set
out in sub-paragraphs (b) to (f) above by the
Islands, or who has made a valid application
under the equivalent in the Islands of Appendix
EU to these rules (other than as the equivalent
of a joining family member of a relevant
sponsor, as deﬁned in Annex 1 to that
Appendix) which has not yet been ﬁnally
determined; or
(h) a person aged 18 or under, studying at a
school or educational institution in France
registered with the French Ministry of Education
and seeking to enter the UK as part of a school
party of 5 or more pupils organised by that
school or institution.
11B. For the purposes of subparagraphs (c) to (h)
of paragraph 11A, the holder must be a national of
one of the following countries:
Austria
Belgium
Bulgaria
Croatia
Cyprus
Czech Republic
Denmark
Estonia
Finland15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 4/27"
What does the law on page 59 state?,"France
Germany
Greece
Hungary
Iceland
Italy
Latvia
Liechtenstein
Lithuania
Luxembourg
Malta
Netherlands
Norway
Poland
Portugal
Romania
Slovakia
Slovenia
Spain
Sweden
Switzerland.
11C. For the purposes of paragraphs 11A(h) and
VN 7.0, that person must be listed in a completed
and authenticated “France-UK School Trip Travel
Information Form” (published by the Home Ofﬁce
on the gov.uk website) in the possession of an adult
arriving at the border with responsibility for
supervising the party’s travel.
Requirement for a person not
requiring leave to enter the United
Kingdom to prove that he has the
right of abode
12. A person claiming to be a British citizen must
prove that he has the right of abode in the United
Kingdom by producing either:15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 5/27"
What does the law on page 60 state?,"(i) a United Kingdom passport describing him as
a British citizen or as a citizen of the United
Kingdom and Colonies having the right of abode
in the United Kingdom; or
(ii) a certiﬁcate of entitlement duly issued by or
on behalf of the Government of the United
Kingdom certifying that he has the right of
abode.
13. A person claiming to be a Commonwealth
citizen with the right of abode in the United
Kingdom must prove that he has the right of abode
by producing a certiﬁcate of entitlement duly issued
to him by or on behalf of the Government of the
United Kingdom certifying that he has the right of
abode.
14. A Commonwealth citizen who has been given
limited leave to enter the United Kingdom may later
claim to have the right of abode. The time limit on
his stay may be removed if he is able to establish a
claim to the right of abode, for example by showing
that:
(i) immediately before the commencement of
the British Nationality Act 1981 he was a
Commonwealth citizen born to or legally
adopted by a parent who at the time of the birth
had citizenship of the United Kingdom and
Colonies by his birth in the United Kingdom or
any of the Islands; and
(ii) he has not ceased to be a Commonwealth
citizen in the meanwhile.
Common T ravel Area
15.The United Kingdom, the Channel Islands, the
Isle of Man and the Republic of Ireland collectively
form a common travel area. A person who has been
examined for the purpose of immigration control at
the point at which he entered the area does not
normally require leave to enter any other part of it.
However certain persons subject to the Immigration
(Control of Entry through the Republic of Ireland)
Order 1972 (as amended) who enter the United
Kingdom through the Republic of Ireland do require
leave to enter. This includes:
(i) those who merely passed through the
Republic of Ireland;15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 6/27"
What does the law on page 61 state?,"(ii)persons requiring visas;
(iii)persons who entered the Republic of Ireland
unlawfully;
(iv)persons who are subject to directions given
by the Secretary of State for their exclusion from
the United Kingdom on the ground that their
exclusion is conducive to the public good;
(v)persons who entered the Republic from the
United Kingdom and Islands after entering there
unlawfully or overstaying their leave.
Admission of certain British passport
holders
16. A person in any of the following categories may
be admitted freely to the United Kingdom on
production of a United Kingdom passport issued in
the United Kingdom and Islands or the Republic of
Ireland prior to 1 January 1973, unless his passport
has been endorsed to show that he was subject to
immigration control:
(i) a British Dependent Territories citizen;
(ii) a British National (Overseas);
(iii) a British Overseas citizen;
(iv) a British protected person;
(v) a British subject by virtue of Section 30(a) of
the British Nationality Act 1981, (who,
immediately before the commencement of the
1981 Act would have been a British subject not
possessing citizenship of the United Kingdom
and Colonies or the citizenship of any other
Commonwealth country or territory).
17. British Overseas citizens who hold United
Kingdom passports wherever issued and who
satisfy the Immigration Ofﬁcer that they have, since
1 March 1968, been given indeﬁnite leave to enter
or remain in the United Kingdom may be given
indeﬁnite leave to enter.
Persons outside the United Kingdom
17A. Where a person is outside the United
Kingdom but wishes to travel to the United Kingdom15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 7/27"
What does the law on page 62 state?,"an Immigration Ofﬁcer may give or refuse him leave
to enter. An Immigration Ofﬁcer may exercise these
powers whether or not he is, himself, in the United
Kingdom. However, an Immigration Ofﬁcer is not
obliged to consider an application for leave to enter
from a person outside the United Kingdom.
17B. Where a person having left the common travel
area, has leave to enter the United Kingdom which
remains in force under article 13 of the Immigration
(Leave to Enter and Remain) Order 2000, an
Immigration Ofﬁcer may cancel that leave. An
Immigration Ofﬁcer may exercise these powers
whether or not he is, himself, in the United
Kingdom. If a person outside the United Kingdom
has leave to remain in the United Kingdom which is
in force in this way, the Secretary of State may
cancel that leave.
Returning Residents
18. DELETED
18A. DELETED
19. DELETED
19A. DELETED
20. DELETED
Non-lapsing leave
20A. Leave to enter or remain in the United
Kingdom will usually lapse on the holder going to a
country or territory outside the common travel area.
However, under article 13 of the Immigration (Leave
to Enter and Remain) Order 2000 such leave will
not lapse where it was given for a period exceeding
six months or where it was conferred by means of
an entry clearance (other than a visit visa).
20B. Those who seek leave to enter the United
Kingdom within the period of their earlier leave and
for the same purpose as that for which that leave
was granted, unless it
(i) was for a period of six months or less; or
(ii) was extended by statutory instrument or by
section 3C of the Immigration Act 1971 (inserted15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 8/27"
What does the law on page 63 state?,"by section 3 of the Immigration and Asylum Act
1999); do not need a visa to enter the UK.
Holders of restricted travel
documents and passports
21. The leave to enter or remain in the United
Kingdom of the holder of a passport or travel
document whose permission to enter another
country has to be exercised before a given date
may be restricted so as to terminate at least 2
months before that date.
22. If his passport or travel document is endorsed
with a restriction on the period for which he may
remain outside his country of normal residence, his
leave to enter or remain in the United Kingdom may
be limited so as not to extend beyond the period of
authorised absence.
23.The holder of a travel document issued by the
Home Ofﬁce should not be given leave to enter or
remain for a period extending beyond the validity of
that document. This paragraph and paragraphs 21-
22 do not apply to a person who is eligible for
admission for settlement or to a spouse or civil
partner who is eligible for admission under
paragraph 282 or to a person who qualiﬁes for the
removal of the time limit on his stay.
Leave to enter granted on arrival in
the United Kingdom
23A. A person who is not a visa national and who is
seeking leave to enter on arrival in the United
Kingdom for a period not exceeding 6 months for a
purpose for which prior entry clearance is not
required under these Rules may be granted such
leave, for a period not exceeding 6 months. This
paragraph does not apply where the person is a
British National (Overseas), a British overseas
territories citizen, a British Overseas citizen, a
British protected person, or a person who under the
British Nationality Act 1981 is a British subject.
23B. A person who is a British National (Overseas),
a British overseas territories citizen, a British
Overseas citizen, a British protected person, or a
person who under the British Nationality Act 1981 is15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 9/27"
What does the law on page 64 state?,"a British subject, and who is seeking leave to enter
on arrival in the United Kingdom for a purpose for
which prior entry clearance is not required under
these Rules may be granted such leave,
irrespective of the period of time for which he seeks
entry, for a period not exceeding 6 months.
A24. A person who is a national of a country
speciﬁed in rule ETA 1.2. must obtain an ETA
before travel to the UK unless they have an entry
clearance.
Entry clearance
24. The following persons are required to obtain
entry clearance in advance of travel to the UK:
(i) a visa national;
(ii) a non-visa national (not a British or Irish
national) who is seeking entry for any purpose
other than as a visitor seeking entry for 6
months or less, or
(iii) a British national without the right of abode
who is seeking entry for a purpose for which
prior entry clearance is required under these
Rules.
Any other person who wishes to ascertain in
advance whether they are eligible for admission to
the United Kingdom may apply for the issue of an
entry clearance.
24A. A person who requires entry clearance must
on arrival in the UK either:
(i) produce to the Immigration Ofﬁcer a valid
passport or other identity document endorsed
with a United Kingdom entry clearance, issued
to them for the purpose for which they seek
entry, which is still in force, or:
(ii) where they have been granted a United
Kingdom entry clearance which was issued to
them in electronic form (an eVisa) for the
purpose for which they seek entry and which is
still in force, produce to the Immigration Ofﬁcer
a valid passport or other identity document.
24B. A person who requires entry clearance and
fails to meet the requirements of 24A must not be15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 10/27"
What does the law on page 65 state?,"granted leave to enter on arrival.
25. Entry clearance takes the form of a visa (for
visa nationals) or an entry certiﬁcate (for non visa
nationals). A visa or an entry certiﬁcate may be
issued in electronic form. These documents are to
be taken as evidence of the holder’s eligibility for
entry into the United Kingdom, and accordingly
accepted as “entry clearances” within the meaning
of the Immigration Act 1971.
25A. An entry clearance which satisﬁes the
requirements set out in article 3 of the Immigration
(Leave to Enter and Remain) Order 2000 will have
effect as leave to enter the United Kingdom. The
requirements are that the entry clearance must
specify the purpose for which the holder wishes to
enter the United Kingdom and should be endorsed
with the conditions to which it is subject or wish a
statement that it has effect as indeﬁnite leave to
enter the United Kingdom. The holder of such an
entry clearance will not require leave to enter on
arrival in the United Kingdom and, for the purposes
of these Rules, will be treated as a person who has
arrived in the United Kingdom with leave to enter
the United Kingdom which is in force but which was
given to him before his arrival.
26. An application for entry clearance will be
considered in accordance with the provisions in
these Rules governing the grant or refusal of leave
to enter. Where appropriate, the term “Entry
Clearance Ofﬁcer” should be substituted for
“Immigration Ofﬁcer”.
27. An application for entry clearance is to be
decided in the light of the circumstances existing at
the time of the decision, except that an applicant
will not be refused an entry clearance where entry
is sought in one of the categories contained in
paragraphs 296-316 or paragraph EC-C of
Appendix FM solely on account of his attaining the
age of 18 years between receipt of his application
and the date of the decision on it.
28. An applicant for an entry clearance must be
outside the United Kingdom and Islands at the time
of the application. An application for an entry
clearance as a visitor or as a short-term student or
under Appendix Ukraine Scheme must be made to
any post designated by the Secretary of State to15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 11/27"
What does the law on page 66 state?,"accept such applications. Subject to paragraph
28A, any other application must be made to a post
in the country or territory where the applicant is
living which has been designated by the Secretary
of State to accept applications for entry clearance
for that purpose and from that category of applicant.
Where there is no such post the applicant must
apply to the appropriate designated post outside
the country or territory where he is living.
28A (a) An application for entry clearance under
Appendix Temporary Work-Creative Worker or
Appendix International Sportsperson, where the
applicant is applying for a period of permission of
12 months or less, may also be made at the post in
the country or territory where the applicant is
situated at the date of application, provided that:
(i) the post has been designated by the
Secretary of State to accept applications for
entry clearance for that purpose and from that
category of applicant; and
(ii) the applicant is in that country or territory for
a similar purpose to the activity they propose to
undertake in the UK; and
(iii) the applicant is able to demonstrate to the
Entry Clearance Ofﬁcer that they have been
given permission to live in that country or
territory in accordance with its immigration laws.
(b) An application for entry clearance under
Appendix Global Talent or Appendix Youth
Mobility Scheme may be made at the post in the
country or territory where the applicant is
situated at the date of application, provided that:
(i) the post has been designated by the
Secretary of State to accept applications for
entry clearance for that purpose and from
that category of applicant; and
(ii) the applicant is able to demonstrate to
the Entry Clearance Ofﬁcer that they have
been given permission to live in that country
or territory in accordance with its
immigration laws and that the permission
was given for a period of more than 6
months.
29. For the purposes of paragraph 28 “post” means
a British Diplomatic Mission, British Consular post15/03/2025, 15:27 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 12/27"
